"","species","lat","lon","Pb"
"350","Pyrus bourgaeana",37.809194,-6.706952,1
"351","Pyrus bourgaeana",37.793808,-6.668687,1
"352","Pyrus bourgaeana",37.776978,-6.682892,1
"353","Pyrus bourgaeana",37.781375,-6.704699,1
"354","Pyrus bourgaeana",37.772274,-6.04252,1
"355","Pyrus bourgaeana",37.778704,-6.710252,1
"356","Pyrus bourgaeana",37.775838,-6.71088,1
"357","Pyrus bourgaeana",37.765323,-6.888201,1
"358","Pyrus bourgaeana",37.746947,-5.930576,1
"359","Pyrus bourgaeana",37.639224,-5.988565,1
"360","Pyrus bourgaeana",37.765462,-6.007091,1
"361","Pyrus bourgaeana",37.759511,-6.050713,1
"362","Pyrus bourgaeana",37.759253,-6.664005,1
"363","Pyrus bourgaeana",37.756366,-6.658348,1
"364","Pyrus bourgaeana",37.759914,-6.666489,1
"365","Pyrus bourgaeana",37.757191,-6.667171,1
"366","Pyrus bourgaeana",37.782976,-6.730714,1
"367","Pyrus bourgaeana",37.783231,-6.732066,1
"368","Pyrus bourgaeana",37.788153,-6.695684,1
"369","Pyrus bourgaeana",37.756075,-6.731086,1
"370","Pyrus bourgaeana",37.761603,-6.723206,1
"371","Pyrus bourgaeana",37.747442,-6.617122,1
"372","Pyrus bourgaeana",37.733442,-6.630018,1
"373","Pyrus bourgaeana",37.744659,-6.696298,1
"374","Pyrus bourgaeana",37.72406,-6.742691,1
"375","Pyrus bourgaeana",37.754902,-6.88871,1
"376","Pyrus bourgaeana",37.749975,-6.839011,1
"377","Pyrus bourgaeana",37.748691,-6.792749,1
"378","Pyrus bourgaeana",37.734672,-7.06446,1
"379","Pyrus bourgaeana",37.778077,-6.748809,1
"380","Pyrus bourgaeana",37.783234,-6.781644,1
"381","Pyrus bourgaeana",37.694485,-6.7735,1
"382","Pyrus bourgaeana",37.678956,-6.755394,1
"383","Pyrus bourgaeana",37.664215,-6.767932,1
"384","Pyrus bourgaeana",37.681589,-6.760424,1
"385","Pyrus bourgaeana",37.634748,-6.712602,1
"386","Pyrus bourgaeana",37.609122,-6.746962,1
"387","Pyrus bourgaeana",37.619693,-6.755308,1
"388","Pyrus bourgaeana",37.673713,-6.788076,1
"389","Pyrus bourgaeana",37.727043,-6.953301,1
"390","Pyrus bourgaeana",37.728698,-6.966499,1
"391","Pyrus bourgaeana",37.711736,-6.993441,1
"392","Pyrus bourgaeana",37.708627,-6.998818,1
"393","Pyrus bourgaeana",37.708167,-6.996163,1
"394","Pyrus bourgaeana",37.771933,-7.006485,1
"395","Pyrus bourgaeana",37.748323,-6.979425,1
"396","Pyrus bourgaeana",37.742206,-7.016858,1
"397","Pyrus bourgaeana",37.748875,-6.997435,1
"398","Pyrus bourgaeana",37.754961,-6.998035,1
"399","Pyrus bourgaeana",37.7397,-7.08108,1
"400","Pyrus bourgaeana",37.746638,-7.070605,1
"401","Pyrus bourgaeana",37.773789,-7.07963,1
"402","Pyrus bourgaeana",37.775004,-7.079924,1
"403","Pyrus bourgaeana",37.731802,-7.070643,1
"404","Pyrus bourgaeana",37.727048,-7.031564,1
"405","Pyrus bourgaeana",37.699384,-6.97142,1
"406","Pyrus bourgaeana",37.712327,-7.022136,1
"407","Pyrus bourgaeana",37.6182,-6.786218,1
"408","Pyrus bourgaeana",37.682893,-6.728174,1
"409","Pyrus bourgaeana",37.755667,-6.952863,1
"410","Pyrus bourgaeana",37.703924,-6.127211,1
"411","Pyrus bourgaeana",37.752393,-7.095039,1
"412","Pyrus bourgaeana",37.78276,-7.103752,1
"413","Pyrus bourgaeana",37.810782,-7.046756,1
"414","Pyrus bourgaeana",37.943266,-7.055806,1
"415","Pyrus bourgaeana",37.94945,-6.974998,1
"416","Pyrus bourgaeana",37.963463,-6.999748,1
"417","Pyrus bourgaeana",37.738054,-6.184374,1
"418","Pyrus bourgaeana",37.73883,-6.202265,1
"419","Pyrus bourgaeana",37.127921,-6.430055,1
"420","Pyrus bourgaeana",37.754742,-6.13659,1
"421","Pyrus bourgaeana",37.221873,-6.64497,1
"422","Pyrus bourgaeana",38.381435,-3.773244,1
"423","Pyrus bourgaeana",37.198364,-6.561669,1
"424","Pyrus bourgaeana",38.359286,-3.651102,1
"425","Pyrus bourgaeana",38.265914,-5.072723,1
"426","Pyrus bourgaeana",38.13945,-5.283729,1
"427","Pyrus bourgaeana",38.282701,-5.157717,1
"428","Pyrus bourgaeana",38.321313,-3.526413,1
"429","Pyrus bourgaeana",38.216931,-3.744623,1
"430","Pyrus bourgaeana",38.211925,-5.021749,1
"431","Pyrus bourgaeana",38.231204,-5.002564,1
"432","Pyrus bourgaeana",38.235299,-5.013941,1
"433","Pyrus bourgaeana",37.680781,-5.600373,1
"434","Pyrus bourgaeana",37.680754,-5.600372,1
"435","Pyrus bourgaeana",37.133032,-6.497736,1
"436","Pyrus bourgaeana",37.130575,-6.502833,1
"437","Pyrus bourgaeana",38.262454,-5.299552,1
"438","Pyrus bourgaeana",38.261623,-4.949215,1
"439","Pyrus bourgaeana",38.271187,-4.976526,1
"440","Pyrus bourgaeana",38.279424,-4.98929,1
"441","Pyrus bourgaeana",38.161337,-5.131297,1
"442","Pyrus bourgaeana",38.161298,-5.131445,1
"443","Pyrus bourgaeana",38.209118,-4.883869,1
"444","Pyrus bourgaeana",38.232517,-4.963266,1
"445","Pyrus bourgaeana",37.129054,-6.496687,1
"446","Pyrus bourgaeana",38.2024,-4.858149,1
"447","Pyrus bourgaeana",38.226708,-4.834378,1
"448","Pyrus bourgaeana",38.141508,-4.909902,1
"449","Pyrus bourgaeana",38.22399,-5.151595,1
"450","Pyrus bourgaeana",36.479,-5.272,1
"451","Pyrus bourgaeana",37.809021,-5.518502,1
"452","Pyrus bourgaeana",36.982875,-5.480988,1
"453","Pyrus bourgaeana",40.11,-4.71,1
"454","Pyrus bourgaeana",38.157908,-3.992085,1
"455","Pyrus bourgaeana",38.203108,-3.904572,1
"456","Pyrus bourgaeana",38.206219,-3.896159,1
"457","Pyrus bourgaeana",38.178206,-3.905886,1
"458","Pyrus bourgaeana",38.183094,-3.89261,1
"459","Pyrus bourgaeana",38.359274,-4.223917,1
"460","Pyrus bourgaeana",38.314471,-4.133819,1
"461","Pyrus bourgaeana",38.333725,-4.126807,1
"462","Pyrus bourgaeana",40.39,-3.89,1
"463","Pyrus bourgaeana",38.20131,-3.839817,1
"464","Pyrus bourgaeana",38.195222,-3.835362,1
"465","Pyrus bourgaeana",38.172131,-3.853102,1
"466","Pyrus bourgaeana",38.151728,-3.88465,1
"467","Pyrus bourgaeana",37.534316,-7.160526,1
"468","Pyrus bourgaeana",38.170717,-3.971242,1
"469","Pyrus bourgaeana",38.363313,-4.175225,1
"470","Pyrus bourgaeana",38.152371,-3.853774,1
"471","Pyrus bourgaeana",38.152117,-3.853988,1
"472","Pyrus bourgaeana",36.759,-5.235,1
"473","Pyrus bourgaeana",38.129378,-4.019174,1
"474","Pyrus bourgaeana",37.247333,-7.077129,1
"475","Pyrus bourgaeana",37.248651,-7.07729,1
"476","Pyrus bourgaeana",37.905463,-4.979966,1
"477","Pyrus bourgaeana",37.901962,-4.926408,1
"478","Pyrus bourgaeana",37.896518,-4.947327,1
"479","Pyrus bourgaeana",37.899846,-4.959674,1
"480","Pyrus bourgaeana",37.91062,-4.945219,1
"481","Pyrus bourgaeana",38.279345,-3.954278,1
"482","Pyrus bourgaeana",38.4833,-3.8611,1
"483","Pyrus bourgaeana",38.49,-3.85,1
"484","Pyrus bourgaeana",38.29181,-4.060077,1
"485","Pyrus bourgaeana",38.322529,-4.075304,1
"486","Pyrus bourgaeana",38.321641,-4.077807,1
"487","Pyrus bourgaeana",38.32164,-4.077865,1
"488","Pyrus bourgaeana",38.32342,-4.078349,1
"489","Pyrus bourgaeana",38.313478,-4.057807,1
"490","Pyrus bourgaeana",38.329674,-4.06851,1
"491","Pyrus bourgaeana",38.75,-3.94,1
"492","Pyrus bourgaeana",39.14,-6.85,1
"493","Pyrus bourgaeana",38.356113,-3.843408,1
"494","Pyrus bourgaeana",38.361045,-4.016778,1
"495","Pyrus bourgaeana",38.372584,-4.037991,1
"496","Pyrus bourgaeana",38.238459,-4.057041,1
"497","Pyrus bourgaeana",38.47,-3.88,1
"498","Pyrus bourgaeana",38.51,-6.76,1
"499","Pyrus bourgaeana",39.35,-7.1167,1
"500","Pyrus bourgaeana",38,-6.75,1
"501","Pyrus bourgaeana",39.03,-6.05,1
"502","Pyrus bourgaeana",38.6418,-5.4141,1
